,country,tree_cover,tree_cover_%_2000,tree_cover_loss_2014,cover_gain,forest_type_nat,forest_type_pri,forest_type_pla,loss_outside_plant,loss_outside_plant_%,certified_forest,total_economy,percentage_economy,employment,reforestation_rate_10,carbon,GHG_emissions,conventions
0,AFG,205KHa,0,2,303,,,,,,0 ha ,USD 34.8 million,0.2% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,38 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,ALA,,,,,,,,,,,,,,,,,
2,ALB,675.8KHa,,,,77%,11%,12%,,,0 ha ,USD 82.9 million,0.7% of the GDP.,"3 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,50 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,DZA,1MHa,1,"6,758","32,539",72%,,28%,,,0 ha ,USD 229.0 million,0.1% of the GDP.,"13 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",46 kha/year,65 million metric tons of carbon stocks,0.92% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,ASM,,,,,,,,,,,,,,,,,
5,AND,19KHa,42,0,17,,,,,,0 ha ,,,,,,,[]
6,AGO,55MHa,44,"175,407","63,797",100%,,,,,0 ha ,USD 50.8 million,0.05% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,"4,338 million metric tons of carbon stocks",24.9% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,AIA,2KHa,27,0,29,,,,,,0 ha ,,,,,,,[]
8,ATA,,,,,,,,,,,,,,,,,
9,ATG,19KHa,46,22,248,,,,,,0 ha ,,,,,,,[]
10,ARG,39MHa,14,"204,998","643,048",89%,6%,5%,,,"276,368 ha ",USD 2.1 billion,0.5% of the GDP.,"70 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",114 kha/year,"3,013 million metric tons of carbon stocks",16.6% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
