,country_name,country_code,tree_cover,tree_cover_%_2000,tree_cover_loss_2014,cover_gain,forest_type_nat,forest_type_pri,forest_type_pla,certified_forest,total_economy,percentage_economy,employment,reforestation_rate_10,carbon,GHG_emissions,CBD,KYOTO,UNCCD,ITTA,CITES,RAMSAR,WORLD HERITAGE,NLBI,ILO 169,Agricultural land (% of land area) 2013,Population change 2015 %,GDP per capita (current US$) 2015,GDP growth (annual %) 2015,Food production index 2013,loss_14_%,certified_%,cover_gained_%,loss_quartile,UNFCCC_Annex I Party,UNFCCC_Annex I/II Party,UNFCCC_Non Party,UNFCCC_Non-Annex I Party
0,Afghanistan,AFG,205000,0.0,2.0,303.0,,,,0.0,34.8,0.2,1.0,,38.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,58.1,2.8,590.3,1.5,119.8,0.000975609756098,0.0,0.147804878049,1.0,0,0,0,1
1,Albania,ALB,675000,,,,0.77,0.11,0.12,0.0,82.9,0.7,3.0,,50.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,43.3,-0.2,3965.0,2.6,127.9,,0.0,,,0,0,0,1
2,Algeria,DZA,1000000,1.0,6758.0,32539.0,0.72,,0.28,0.0,229.0,0.1,13.0,46.0,65.0,0.92,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,17.4,1.9,4206.0,3.9,157.5,0.6758,0.0,3.2539,4.0,0,0,0,1
4,Andorra,AND,19000,42.0,0.0,17.0,,,,0.0,,,,,,,,,,,,,,,,44.3,-3.2,,,,0.0,0.0,0.0894736842105,1.0,0,0,0,0
5,Angola,AGO,55000000,44.0,175407.0,63797.0,1.0,,,0.0,50.8,0.05,2.0,,4338.0,24.9,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,47.5,3.2,4102.1,3.0,213.4,0.318921818182,0.0,0.115994545455,3.0,0,0,0,1
6,Antigua and Barbuda,ATG,19000,46.0,22.0,248.0,,,,0.0,,,,,,,,,,,,,,,,20.5,1.0,14128.9,3.7,88.9,0.115789473684,0.0,1.30526315789,2.0,0,0,0,0
7,Argentina,ARG,39000000,14.0,204998.0,643048.0,0.89,0.06,0.05,276.0,2.1,0.5,70.0,114.0,3013.0,16.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,54.5,1.0,13431.9,2.4,118.4,0.525635897436,0.000707692307692,1.64884102564,3.0,0,0,0,1
8,Armenia,ARM,337000,12.0,38.0,1278.0,0.88,0.05,0.07,0.0,17.0,0.2,5.0,6.0,16.0,8.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,59.1,0.4,3499.8,3.0,129.2,0.0112759643917,0.0,0.379228486647,1.0,0,0,0,1
9,Aruba,ABW,24,0.0,0.0,1.0,,,,0.0,,,,,,,,,,,,,,,,11.1,0.4,,,,0.0,0.0,4.16666666667,1.0,0,0,0,0
10,Australia,AUS,42000000,6.0,215880.0,1414572.0,0.94,0.04,0.02,11.0,7.7,0.9,67.0,,,5.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,51.6,1.3,56327.7,2.3,119.5,0.514,2.61904761905e-05,3.36802857143,3.0,0,1,0,0
11,Austria,AUT,4000000,52.0,7018.0,65824.0,0.53,0.03,0.44,2.0,7.1,1.9,65.0,75.0,391.0,5.6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,38.2,0.8,43438.9,0.9,102.0,0.17545,5e-05,1.6456,2.0,0,1,0,0
12,Azerbaijan,AZE,1000000,15.0,323.0,865.0,0.55,0.43,0.02,0.0,16.2,0.03,4.0,10.0,54.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,57.7,1.2,5496.3,1.1,139.8,0.0323,0.0,0.0865,1.0,0,0,0,1
13,Bahamas,BHS,304000,26.0,486.0,787.0,1.0,,,0.0,3.3,0.04,1.0,,,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.4,1.3,22896.9,1.2,133.8,0.159868421053,0.0,0.258881578947,2.0,0,0,0,1
15,Bangladesh,BGD,2000000,15.0,8929.0,7022.0,0.52,0.29,0.19,0.0,1.5,1.3,44.0,8.0,99.0,16.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,70.0,1.2,1211.7,6.6,135.4,0.44645,0.0,0.3511,3.0,0,0,0,1
16,Barbados,BRB,5000,12.0,1.0,196.0,1.0,,,0.0,,,,,,,,,,,,,,,,32.6,0.3,15660.7,1.0,97.2,0.02,0.0,3.92,1.0,0,0,0,0
17,Belarus,BLR,9000000,44.0,27331.0,375557.0,0.73,0.05,0.22,13.0,575.0,1.1,113.0,2.0,646.0,,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,43.0,0.3,5740.5,-3.9,125.9,0.303677777778,0.000144444444444,4.17285555556,3.0,1,0,0,0
18,Belgium,BEL,864000,28.0,3467.0,37357.0,0.42,,0.58,310.0,2.7,0.6,28.0,2.0,72.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,44.1,0.5,40231.3,1.4,101.8,0.401273148148,0.0358796296296,4.32372685185,3.0,0,1,0,0
19,Belize,BLZ,2000000,81.0,14497.0,12796.0,0.56,0.44,,65.0,15.1,1.1,2.0,,169.0,34.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,7.0,2.1,4906.9,1.9,102.2,0.72485,0.00325,0.6398,4.0,0,0,0,1
20,Benin,BEN,169000,1.0,1174.0,6899.0,0.99,,0.01,0.0,145.4,2.2,2.0,14.0,248.0,49.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,33.3,2.6,779.1,5.2,151.6,0.694674556213,0.0,4.08224852071,4.0,0,0,0,1
21,Bermuda,BMU,604,11.0,0.0,38.0,,,,0.0,,,,,,,,,,,,,,,,6.0,0.1,,,119.8,0.0,0.0,6.29139072848,1.0,0,0,0,0
22,Bhutan,BTN,3000000,65.0,982.0,2159.0,0.84,0.15,0.01,0.0,66.9,3.8,3.0,0.0,293.0,,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,13.6,1.3,2532.5,3.3,97.1,0.0327333333333,0.0,0.0719666666667,1.0,0,0,0,1
23,Bolivia,BOL,65000000,60.0,220469.0,173608.0,0.34,0.66,,890.0,431.0,2.2,9.0,3.0,4442.0,66.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,34.8,1.5,3095.4,4.0,135.5,0.339183076923,0.00136923076923,0.267089230769,3.0,0,0,0,1
24,Bosnia and Herzegovina,BIH,3000000,52.0,1310.0,26485.0,0.54,,0.46,1.0,254.3,1.7,13.0,,118.0,0.86,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,42.1,-0.2,4197.8,3.2,117.0,0.0436666666667,3.33333333333e-05,0.882833333333,1.0,0,0,0,1
25,Botswana,BWA,20000,0.0,15.0,90.0,1.0,,,0.0,97.4,0.7,2.0,,636.0,44.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,45.7,1.9,6360.6,-0.3,130.0,0.075,0.0,0.45,2.0,0,0,0,1
26,Brazil,BRA,519000000,62.0,2262241.0,7586752.0,0.57,0.41,0.02,7.0,22.5,1.1,772.0,519.0,59222.0,44.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,33.4,0.9,8538.6,-3.8,136.7,0.435884585742,1.34874759152e-06,1.46180192678,3.0,0,0,0,1
28,Brunei Darussalam,BRN,528000,92.0,1772.0,8770.0,0.3,0.69,0.01,0.0,10.2,0.06,2.0,0.0,72.0,9.2,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.7,1.4,36607.9,-0.5,167.2,0.335606060606,0.0,1.66098484848,3.0,0,0,0,1
29,Bulgaria,BGR,4000000,37.0,4767.0,67807.0,0.71,0.09,0.2,637.0,482.1,1.0,50.0,22.0,213.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,46.0,-0.6,6819.9,3.0,120.4,0.119175,0.015925,1.695175,2.0,0,1,0,0
30,Burkina Faso,BFA,132,0.0,0.0,0.0,0.96,,0.04,0.0,308.5,3.5,17.0,14.0,247.0,36.1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,45.0,2.9,613.0,4.0,123.9,0.0,0.0,0.0,1.0,0,0,0,1
31,Burundi,BDI,538000,22.0,1556.0,3565.0,0.42,0.14,0.44,0.0,70.6,3.2,2.0,5.0,27.0,57.5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,79.2,3.3,276.0,-2.5,144.8,0.289219330855,0.0,0.662639405204,3.0,0,0,0,1
