0,Approval,Annex I Party,Approval,Accession,Consuming Member,Succession,Contracting Party,Succession,Member State,Not Ratified
1,Ratification,Annex I/II Party,Ratification,Ratification,Consuming Member,Ratification,Contracting Party,Ratification,Member State,Ratification
2,,,,,,,,,,
3,,,,,,,,,,
4,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
5,Ratification,Non-Annex I Party,Ratification,Ratification,Producing Member,Ratification,Contracting Party,Acceptance,Member State,Ratification
6,Ratification,Non-Annex I Party,Ratification,Ratification,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
7,Ratification,Non-Annex I Party,Ratification,Accession,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
8,Accession,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
9,Accession,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Non Party,Acceptance,Member State,Not Ratified
10,Ratification,Annex I/II Party,Ratification,Accession,Consuming Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
11,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Non Party,Ratification,Member State,Not Ratified
12,,,,,,,,,,
13,,,,,,,,,,
14,Ratification,Non-Annex I Party,Ratification,Accession,Producing Member,Accession,Contracting Party,Ratification,Member State,Ratification
15,Acceptance,Annex I/II Party,Ratification,Ratification,Consuming Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
16,Ratification,Annex I/II Party,Approval,Ratification,Consuming Member,Approval,Contracting Party,Acceptance,Member State,Not Ratified
17,????,Non Party,Non Party,Non Party,Non Member,Non Party,Non Party,Non Party,Non Member State,Not Ratified
18,????,Non Party,Non Party,Non Party,Non Member,Non Party,Non Party,Non Party,Non Member State,Not Ratified
19,,,,,,,,,,
