0,Non Party,Non Party,Non Party,Non Party,Non Member,Non Party,Non Party,Non Party,Non Member State,Not Ratified
1,Ratification,Annex I/II Party,Ratification,Accession,Consuming Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
2,Ratification,Annex I Party,Ratification,Accession,Non Member,Continuation,Contracting Party,Ratification,Member State,Not Ratified
3,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
4,,,,,,,,,,
5,,,,,,,,,,
6,,,,,,,,,,
7,,,,,,,,,,
8,,,,,,,,,,
9,,,,,,,,,,
10,,,,,,,,,,
11,Ratification,Non-Annex I Party,Ratification,Accession,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
12,,,,,,,,,,
13,,,,,,,,,,
14,Accession,Non-Annex I Party,Accession,Accession,Non Member,Accession,Non Party,Acceptance,Member State,Not Ratified
15,Ratification,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
16,Ratification,Non-Annex I Party,Accession,Accession,Non Member,Continuation,Contracting Party,Succession,Member State,Not Ratified
17,Ratification,Non-Annex I Party,Ratification,Ratification,Non Member,Accession,Contracting Party,Acceptance,Member State,Not Ratified
18,Accession,Non-Annex I Party,Accession,Ratification,Non Member,Accession,Contracting Party,Ratification,Member State,Not Ratified
19,,,,,,,,,,
