data py,Country
Afghanistan,Afghanistan
Albania,Albania
Algeria,Algeria
Andorra,American Samoa
Angola,Andorra
Anguilla,Angola
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
Bahamas,Bahamas
Bangladesh,Bahrain
Barbados,Bangladesh
Belarus,Barbados
Belgium,Belarus
Belize,Belgium
Benin,Belize
Bermuda,Benin
Bhutan,Bermuda
Bolivia,Bhutan
Bosnia and Herzegovina,Bolivia
Botswana,Bosnia and Herzegovina
Brazil,Botswana
Brunei Darussalam,Brazil
Bulgaria,British Virgin Islands
Burkina Faso,Brunei Darussalam
Burundi,Bulgaria
Cambodia,Burkina Faso
Cameroon,Burundi
Canada,Cabo Verde
Cape Verde,Cambodia
Cayman Islands,Cameroon
Central African Republic,Canada
Chad,Cayman Islands
Chile,Central African Republic
China,Chad
"Hong Kong, Special Administrative Region of China",Channel Islands
"Macao, Special Administrative Region of China",Chile
Colombia,China
Comoros,Colombia
Congo (Brazzaville),Comoros
"Congo, Democratic Republic of the","Congo, Democratic Republic of the"
Costa Rica,Congo (Brazzaville)
Câ„¢te d'Ivoire,Costa Rica
Croatia,Câ„¢te d'Ivoire
Cuba,Croatia
Cyprus,Cuba
Czech Republic,Curacao
Denmark,Cyprus
Dominica,Czech Republic
Dominican Republic,Denmark
Ecuador,Djibouti
Egypt,Dominica
El Salvador,Dominican Republic
Equatorial Guinea,Ecuador
Eritrea,Egypt
Estonia,El Salvador
Ethiopia,Equatorial Guinea
Fiji,Eritrea
Finland,Estonia
France,Ethiopia
French Guiana,Faroe Islands
French Polynesia,Fiji
Gabon,Finland
Gambia,France
Georgia,French Polynesia
Germany,Gabon
Ghana,Gambia
Greece,Georgia
Grenada,Germany
Guatemala,Ghana
Guernsey,Gibraltar
Guinea,Greece
Guinea-Bissau,Greenland
Guyana,Grenada
Haiti,Guam
Honduras,Guatemala
Hungary,Guinea
Iceland,Guinea-Bissau
India,Guyana
Indonesia,Haiti
"Iran, Islamic Republic of",Honduras
Iraq,"Hong Kong, Special Administrative Region of China"
Ireland,Hungary
Isle of Man,Iceland
Israel,India
Italy,Indonesia
Jamaica,"Iran, Islamic Republic of"
Japan,Iraq
Jersey,Ireland
Jordan,Isle of Man
Kazakhstan,Israel
Kenya,Italy
"Korea, Democratic People's Republic of",Jamaica
"Korea, Republic of",Japan
Kyrgyzstan,Jordan
Lao PDR,Kazakhstan
Latvia,Kenya
Lebanon,Kiribati
Lesotho,"Korea, Democratic People's Republic of"
Liberia,"Korea, Republic of"
Libya,Kosovo
Liechtenstein,Kuwait
Lithuania,Kyrgyz Republic
Luxembourg,Lao PDR
"Macedonia, Republic of",Latvia
Madagascar,Lebanon
Malawi,Lesotho
Malaysia,Liberia
Maldives,Libya
Mali,Liechtenstein
Malta,Lithuania
Martinique,Luxembourg
Mauritania,"Macao SAR, China"
Mauritius,"Macedonia, Republic of"
Mexico,Madagascar
"Micronesia, Federated States of",Malawi
Moldova,Malaysia
Montenegro,Maldives
Netherlands,Mali
Netherlands Antilles,Malta
New Caledonia,Marshall Islands
Pakistan,Mauritania
Panama,Mauritius
Papua New Guinea,Mexico
Peru,"Micronesia, Federated States of"
Philippines,Moldova
Poland,Monaco
Portugal,Mongolia
Puerto Rico,Montenegro
RÅ_union,Morocco
Romania,Mozambique
Russian Federation,Myanmar
Rwanda,Namibia
Saint-BarthÅ_lemy,Nauru
Saint Lucia,Nepal
Saint-Martin (French part),Netherlands Antilles
Saint Pierre and Miquelon,New Caledonia
Saint Vincent and Grenadines,New Zealand
Samoa,Nicaragua
San Marino,Niger
Sao Tome and Principe,Nigeria
Saudi Arabia,Northern Mariana Islands
Senegal,Norway
Serbia,Oman
Seychelles,Pakistan
Sierra Leone,Palau
Singapore,Panama
Slovakia,Papua New Guinea
Slovenia,Paraguay
Solomon Islands,Peru
Somalia,Philippines
South Africa,Poland
South Sudan,Portugal
Spain,Puerto Rico
Sri Lanka,Qatar
Sudan,Romania
Suriname *,Russian Federation
Swaziland,Rwanda
Sweden,Samoa
Switzerland,San Marino
Syrian Arab Republic (Syria),Sao Tome and Principe
"Taiwan, Republic of China",Saudi Arabia
Tajikistan,Senegal
"Tanzania *, United Republic of",Serbia
Thailand,Seychelles
Timor-Leste,Sierra Leone
Togo,Singapore
Trinidad and Tobago,Sint Maarten (Dutch part)
Tunisia,Slovakia
Turkey,Slovenia
Turkmenistan,Solomon Islands
Uganda,Somalia
Ukraine,South Africa
United Arab Emirates,South Sudan
United Kingdom,Spain
United States of America,Sri Lanka
Uruguay,St. Kitts and Nevis
Uzbekistan,Saint Lucia
Vanuatu,Saint-Martin (French part)
Venezuela (Bolivarian Republic of),Saint Vincent and Grenadines
Viet Nam,Sudan
Yemen,Suriname *
Zambia,Swaziland
Zimbabwe,Sweden
,Switzerland
,Syrian Arab Republic (Syria)
,Tajikistan
,"Tanzania *, United Republic of"
,Thailand
,Timor-Leste
,Togo
,Tonga
,Trinidad and Tobago
,Tunisia
,Turkey
,Turkmenistan
,Turks and Caicos Islands
,Tuvalu
,Uganda
,Ukraine
,United Arab Emirates
,United Kingdom
,United States of America
,Uruguay
,Uzbekistan
,Vanuatu
,Venezuela (Bolivarian Republic of)
,Viet Nam
,Virgin Islands (U.S.)
,West Bank and Gaza
,Yemen
,Zambia
,Zimbabwe
