0,BLR,9MHa,44,"27,331","375,557",73%,5%,22%,,,"13,157,274 ha ",USD 575.0 million,1.1% of the GDP.,"113 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2.49 kha/year,646 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,BEL,864KHa,28,"3,467","37,357",42%,,58%,,,"310,155 ha ",USD 2.7 billion,0.6% of the GDP.,"28 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2.227 kha/year,72 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,BLZ,2MHa,81,"14,497","12,796",56%,44%,,,,"65,044 ha ",USD 15.1 million,1.1% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",169 million metric tons of carbon stocks,34.2% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
3,BEN,169KHa,1,"1,174","6,899",99%,,1%,,,0 ha ,USD 145.4 million,2.2% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",14.6 kha/year,248 million metric tons of carbon stocks,49.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
4,BMU,604Ha,11,0,38,,,,,,0 ha ,,,,,,,[]
5,BTN,3MHa,65,982,"2,159",84%,15%,1%,,,0 ha ,USD 66.9 million,3.8% of the GDP.,"3 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",0.264 kha/year,293 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,BOL,65MHa,60,"220,469","173,608",34%,66%,,,,"890,628 ha ",USD 431.0 million,2.2% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",3 kha/year,"4,442 million metric tons of carbon stocks",66.3% of GHG emissions,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,BIH,3MHa,52,"1,310","26,485",54%,,46%,,,"1,519,235 ha ",USD 254.3 million,1.7% of the GDP.,"13 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",118 million metric tons of carbon stocks,0.86% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,BWA,20KHa,0,15,90,100%,,,,,0 ha ,USD 97.4 million,0.7% of the GDP.,"2 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",636 million metric tons of carbon stocks,44.3% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
9,BVT,,,,,,,,,,,,,,,,,
