0,TLS,726KHa,49,"1,417","6,124",94%,,6%,,,0 ha ,USD 4.3 million,0.07% of the GDP.,"
                    In 2010, the rate of reforestation was 0.104 kha/year
                  ",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
1,TGO,559KHa,10,"1,992","2,360",76%,,24%,,,0 ha ,USD 52.6 million,1.6% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",1 kha/year,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
2,TKL,,,,,,,,,,,,,,,,,
3,TON,,,,,,,,,,,,,,,,,
4,TTO,392KHa,76,"1,348","1,600",69%,27%,4%,,,0 ha ,USD 86.9 million,0.4% of the GDP.,"4 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",19 million metric tons of carbon stocks,0.81% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
5,TUN,224KHa,1,"1,806","11,495",30%,,70%,,,0 ha ,USD 336.6 million,0.8% of the GDP.,"23 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",1.4 kha/year,9 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
6,TUR,10MHa,13,"17,808","178,374",63%,8%,29%,,,"2,346,799 ha ",USD 5.6 billion,0.8% of the GDP.,"152 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",45.24 kha/year,808 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
7,TKM,10KHa,0,0,278,97%,3%,,,,0 ha ,USD 1.1 million,0.00% of the GDP.,"9 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",12 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
8,TCA,,,,,,,,,,,,,,,,,
9,TUV,,,,,,,,,,,,,,,,,
10,UGA,8MHa,38,"38,738","68,454",97%,,3%,,,"40,072 ha ",USD 589.9 million,3.4% of the GDP.,"12 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",76 million metric tons of carbon stocks,37.6% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
11,UKR,11.1MHa,,,,49%,1%,50%,,,"1,439,047 ha ",USD 1.5 billion,1.0% of the GDP.,"142 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",39.2 kha/year,783 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
12,ARE,0Ha,0,0,0,,,100%,,,0 ha ,USD 479.8 million,0.1% of the GDP.,"7 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",16 million metric tons of carbon stocks,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
13,GBR,3.6MHa,,,,23%,,77%,,,"2,949,464 ha ",USD 9.5 billion,0.4% of the GDP.,"134 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",14 kha/year,237 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
14,USA,279MHa,30,"1,479,837","13,807,357",67%,24%,9%,,,"49,000,770 ha ",USD 95.0 billion,0.6% of the GDP.,"827 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",2900 kha/year,"17,330 million metric tons of carbon stocks",,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
15,UMI,,,,,,,,,,,,,,,,,
16,URY,2MHa,10,"23,180","498,518",25%,17%,58%,,,"925,084 ha ",USD 730.1 million,1.8% of the GDP.,"17 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
17,UZB,106KHa,0,82,520,73%,2%,25%,,,0 ha ,USD 13.8 million,0.03% of the GDP.,"7 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",12 kha/year,42 million metric tons of carbon stocks,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
18,VUT,1MHa,98,578,"1,370",,,,,,0 ha ,USD 10.7 million,1.6% of the GDP.,"1 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",,,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
19,VEN,57MHa,63,"80,245","191,091",1%,98%,1%,,,0 ha ,USD 1.4 billion,0.5% of the GDP.,"56 thousand people are directly employed by the forestry sector, according to 2011 FAO data.",4.215 kha/year,28.4% of GHG emissions,,"[CBD, UNFCCC, KYOTOPROTOCOL, UNCCD, ITTA, CITES, RAMSAR, WORLDHERITAGE, NLBI, ILO 169]"
