Country,Agricultural land (% of land area) 2013,Population change 2015 %,GDP per capita (current US$) 2015,GDP growth (annual %) 2015,Food production index 2013
Afghanistan,58.1,2.8,590.3,1.5,119.8
Albania,43.3,-0.2,"3,965.00",2.6,127.9
Algeria,17.4,1.9,"4,206.00",3.9,157.5
American Samoa,24.5,0.2,,,109
Andorra,44.3,-3.2,,,
Angola,47.5,3.2,"4,102.10",3,213.4
Antigua and Barbuda,20.5,1,"14,128.90",3.7,88.9
Argentina,54.5,1,"13,431.90",2.4,118.4
Armenia,59.1,0.4,"3,499.80",3,129.2
Aruba,11.1,0.4,,,
Australia,51.6,1.3,"56,327.70",2.3,119.5
Austria,38.2,0.8,"43,438.90",0.9,102
Azerbaijan,57.7,1.2,"5,496.30",1.1,139.8
Bahamas,1.4,1.3,"22,896.90",1.2,133.8
Bahrain,11.2,1.1,"23,395.70",2.9,206.8
Bangladesh,70,1.2,"1,211.70",6.6,135.4
Barbados,32.6,0.3,"15,660.70",1,97.2
Belarus,43,0.3,"5,740.50",-3.9,125.9
Belgium,44.1,0.5,"40,231.30",1.4,101.8
Belize,7,2.1,"4,906.90",1.9,102.2
Benin,33.3,2.6,779.1,5.2,151.6
Bermuda,6,0.1,,,119.8
Bhutan,13.6,1.3,"2,532.50",3.3,97.1
Bolivia,34.8,1.5,"3,095.40",4,135.5
Bosnia and Herzegovina,42.1,-0.2,"4,197.80",3.2,117
Botswana,45.7,1.9,"6,360.60",-0.3,130
Brazil,33.4,0.9,"8,538.60",-3.8,136.7
British Virgin Islands,46.7,1.8,,,103.9
Brunei Darussalam,2.7,1.4,"36,607.90",-0.5,167.2
Bulgaria,46,-0.6,"6,819.90",3,120.4
Burkina Faso,45,2.9,613,4,123.9
Burundi,79.2,3.3,276,-2.5,144.8
Cabo Verde,20.8,1.3,"3,131.10",2.5,88.6
Cambodia,32.9,1.6,"1,158.70",7,180.9
Cameroon,20.6,2.5,"1,250.80",6.2,160.2
Canada,7.2,0.9,"43,248.50",1.1,115.4
Cayman Islands,11.3,1.3,,,112.6
Central African Republic,8.2,2,306.8,5.5,121.5
Chad,39.7,3.3,775.7,1.8,120.1
Channel Islands,49.6,0.5,,,
Chile,21.2,1,"13,383.90",2.1,117.4
China,54.8,0.5,"7,924.70",6.9,129.5
Colombia,40.4,0.9,"6,056.10",3.1,116.6
Comoros,71.5,2.4,,,112.9
"Congo, Democratic Republic of the",11.6,3.1,456.1,6.9,117.1
Congo (Brazzaville),31.1,2.5,"1,851.20",2.6,136
Costa Rica,35.6,1.1,"10,629.80",2.8,123.5
C䋢te d'Ivoire,64.8,2.4,"1,398.70",8.4,125.8
Croatia,23.3,-0.3,"11,535.80",1.6,98.2
Cuba,59.6,0.1,,,103.2
